2562-03-05 124654,,,,,,,,,,,,
Start Time,2562/03/05 12:46:54,Timestamp,1551764814148,,,,,,,,,
sensor ID,timestamp (ms),Sample Count,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mark
76f897717d325b35,1551764814206,0,,,,,,,,,,0
76f897717d325b35,1551764814206,0,,,,,,,,,,0
76f897717d325b35,1551764814206,0,,,,,,,,,,0
76f897717d325b35,1551764814206,0,,,,,,,,,,0
76f897717d325b35,1551764814206,0,-4865.0,-9473.0,7935.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814219,1,-3841.0,-11009.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814337,2,-4865.0,-7425.0,10495.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814398,3,-5121.0,-8705.0,10239.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814517,4,-5889.0,-7937.0,10239.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814547,5,-5377.0,-8193.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814637,6,-5377.0,-8449.0,9215.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814667,7,-5633.0,-9473.0,9215.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814698,8,-6657.0,-9217.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814787,9,-5377.0,-9473.0,10495.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814968,10,-4097.0,-8961.0,10239.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814969,11,-4353.0,-7937.0,10751.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764814970,12,-5121.0,-8961.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815117,13,-5633.0,-8193.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815207,14,-5889.0,-8193.0,8703.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815268,15,-5121.0,-8961.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815269,16,-5377.0,-9217.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815328,17,-3585.0,-10753.0,11007.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815358,18,-4353.0,-8449.0,10495.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815477,19,-5377.0,-9473.0,9215.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815479,20,-5121.0,-8449.0,9215.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815568,21,-5377.0,-8449.0,9215.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815628,22,-5377.0,-8449.0,8959.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815688,23,-6145.0,-9217.0,8959.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815748,24,-5633.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815808,25,-4865.0,-10241.0,11007.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815898,26,-3841.0,-9473.0,10239.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764815988,27,-4353.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764816018,28,-4865.0,-8705.0,8959.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764816108,29,-5633.0,-8449.0,8959.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764816137,30,-5633.0,-8193.0,8703.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551764816198,31,-5121.0,-8705.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
