2562-03-05 111830,,,,,,,,,,,,
Start Time,2562/03/05 11:18:30,Timestamp,1551759510352,,,,,,,,,
sensor ID,timestamp (ms),Sample Count,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mark
198063d93970f3b4,1551759510386,0,-6913.0,-6401.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759510396,1,-6913.0,-6401.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759510476,2,-6913.0,-6401.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759510536,3,-6913.0,-6401.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759510596,4,-6913.0,-6401.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759510656,5,-6913.0,-6657.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759510717,6,-6913.0,-6401.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759510806,7,-6913.0,-6401.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759510866,8,-6913.0,-6401.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759510926,9,-6913.0,-6401.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759510987,10,-6913.0,-6657.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759511048,11,-6145.0,-6913.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759511137,12,-6657.0,-6913.0,5887.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759511197,13,-6657.0,-7169.0,5375.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759511257,14,-6913.0,-7169.0,6143.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759511317,15,-6657.0,-6913.0,6143.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759511377,16,-6913.0,-7425.0,6399.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759511467,17,-6913.0,-7937.0,6143.0,0.0,0.0,0.0,0.0,0.0,0.0,0
198063d93970f3b4,1551759511527,18,-6657.0,-7425.0,6143.0,0.0,0.0,0.0,0.0,0.0,0.0,0
