2562-01-14 163226,,,,,,,,,,,,
Start Time,2562/01/14 16:32:26,Timestamp,1547458346569,,,,,,,,,
sensor ID,timestamp (ms),Sample Count,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mark
5be990fc c4796ef,1547458346605,0,,,,,,,,,,0
5be990fc c4796ef,1547458346605,0,6399.0,6911.0,12031.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458346628,1,6399.0,6911.0,12031.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458346656,2,6399.0,7167.0,12031.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458346686,3,6399.0,6911.0,12031.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458346745,4,6399.0,6911.0,12031.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458346746,5,6399.0,6911.0,12031.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458346776,6,6399.0,6911.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458346866,7,6399.0,6911.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458346867,8,6399.0,6911.0,12031.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458346868,9,6143.0,6911.0,12031.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347046,10,6143.0,7167.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347046,11,6143.0,7167.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347256,12,6143.0,6911.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347286,13,6143.0,6911.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347287,14,6143.0,6911.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347289,15,6143.0,6911.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347290,16,5887.0,6911.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347346,17,5887.0,7167.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347348,18,5887.0,7167.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347349,19,5887.0,6911.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347376,20,5887.0,6911.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547458347377,21,5887.0,6911.0,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,0
