2562-03-05 100322,,,,,,,,,,,,
Start Time,2562/03/05 10:03:22,Timestamp,1551755002108,,,,,,,,,
sensor ID,timestamp (ms),Sample Count,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mark
76f897717d325b35,1551755002140,0,,,,,,,,,,0
76f897717d325b35,1551755002140,0,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002166,1,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002196,2,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002256,3,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002316,4,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002376,5,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002466,6,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002556,7,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002586,8,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002646,9,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002706,10,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002796,11,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002856,12,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002916,13,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755002977,14,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003037,15,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003126,16,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003216,17,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003277,18,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003306,19,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003367,20,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003486,21,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003516,22,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003576,23,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003666,24,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003726,25,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003787,26,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003906,27,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003907,28,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755003996,29,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004026,30,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004117,31,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004176,32,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004236,33,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004296,34,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004356,35,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004446,36,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004506,37,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004566,38,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004626,39,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004686,40,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004776,41,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004836,42,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004926,43,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755004956,44,-6657.0,-8705.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005016,45,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005106,46,-6657.0,-8705.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005166,47,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005226,48,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005286,49,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005346,50,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005436,51,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005497,52,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005586,53,-6657.0,-8449.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005616,54,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005676,55,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005767,56,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005826,57,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005886,58,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755005946,59,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755006005,60,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76f897717d325b35,1551755006007,61,-6657.0,-8449.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
