,ID,date,from,to,from actual,to actual,sit,sleep,stand,walk,total,sit count,sleep count,stand count,walk count,inactive count,active count,total count,transition count,duration per action
0,9999,2019-03-28,0:0:0,1:0:0,0:0:0.0,1:0:0.0,0:13:18,0:9:43,0:23:55,0:11:05,0:58:01,92,50,312,280,142,592,734,190,0:0:04
1,9999,2019-03-28,1:0:0,2:0:0,1:0:0.0,2:0:0.0,0:13:01,0:9:52,0:24:19,0:11:02,0:58:14,94,54,276,234,148,510,658,197,0:0:05
2,9999,2019-03-28,2:0:0,3:0:0,2:0:0.0,2:59:59.84,0:14:04,0:10:34,0:23:25,0:10:11,0:58:14,95,55,267,235,150,502,652,196,0:0:05
3,9999,2019-03-28,3:0:0,4:0:0,3:0:10.24,3:59:59.84,0:12:30,0:9:09,0:24:14,0:11:55,0:57:48,90,51,324,286,141,610,751,195,0:0:04
4,9999,2019-03-28,4:0:0,5:0:0,4:0:37.44,5:0:0.0,0:13:28,0:10:46,0:23:26,0:10:01,0:57:41,96,54,258,222,150,480,630,189,0:0:05
5,9999,2019-03-28,5:0:0,6:0:0,5:0:0.0,6:0:0.0,0:13:31,0:10:20,0:23:32,0:10:45,0:58:08,91,55,286,252,146,538,684,195,0:0:05
6,9999,2019-03-28,6:0:0,7:0:0,6:0:0.0,6:59:59.84,0:12:59,0:9:44,0:23:58,0:11:21,0:58:02,93,52,309,269,145,578,723,202,0:0:04
7,9999,2019-03-28,7:0:0,8:0:0,7:0:45.44,8:0:0.0,0:13:14,0:9:59,0:23:22,0:10:52,0:57:27,95,52,275,241,147,516,663,184,0:0:05
8,9999,2019-03-28,8:0:0,9:0:0,8:0:0.0,9:0:0.0,0:13:15,0:9:57,0:23:50,0:11:05,0:58:07,89,52,297,264,141,561,702,192,0:0:05
9,9999,2019-03-28,9:0:0,10:0:0,9:0:0.0,9:59:59.84,0:13:28,0:9:44,0:24:16,0:10:38,0:58:06,96,52,297,253,148,550,698,208,0:0:05
10,9999,2019-03-28,10:0:0,11:0:0,10:0:11.2,11:0:0.0,0:13:53,0:10:41,0:23:10,0:10:22,0:58:06,93,53,258,225,146,483,629,177,0:0:05
11,9999,2019-03-28,11:0:0,12:0:0,11:0:0.0,12:0:0.0,0:12:48,0:9:14,0:23:53,0:12:03,0:57:58,91,51,316,289,142,605,747,197,0:0:04
12,9999,2019-03-28,12:0:0,13:0:0,12:0:0.0,12:59:59.84,0:13:30,0:10:56,0:23:49,0:9:56,0:58:11,98,59,281,233,157,514,671,208,0:0:05
13,9999,2019-03-28,13:0:0,14:0:0,13:0:9.6,13:59:59.84,0:13:36,0:10:02,0:23:24,0:11:04,0:58:06,90,52,264,231,142,495,637,187,0:0:05
14,9999,2019-03-28,14:0:0,15:0:0,14:0:32.0,15:0:0.0,0:13:18,0:9:43,0:23:22,0:11:05,0:57:28,93,50,312,280,143,592,735,191,0:0:04
15,9999,2019-03-28,15:0:0,16:0:0,15:0:0.0,15:59:59.84,0:13:04,0:9:52,0:24:16,0:11:02,0:58:14,94,54,276,234,148,510,658,197,0:0:05
16,9999,2019-03-28,16:0:0,17:0:0,16:0:53.28,16:59:59.84,0:13:54,0:10:37,0:22:40,0:10:11,0:57:22,94,55,266,235,149,501,650,195,0:0:05
17,9999,2019-03-28,17:0:0,18:0:0,17:0:12.16,18:0:0.0,0:12:25,0:9:09,0:24:16,0:11:55,0:57:45,91,51,325,286,142,611,753,197,0:0:04
18,9999,2019-03-28,18:0:0,19:0:0,18:0:0.0,19:0:0.0,0:14:02,0:10:48,0:23:26,0:10:01,0:58:17,97,54,258,222,151,480,631,190,0:0:05
19,9999,2019-03-28,19:0:0,20:0:0,19:0:0.0,20:0:0.0,0:13:31,0:10:18,0:23:32,0:10:48,0:58:09,91,55,286,252,146,538,684,195,0:0:05
20,9999,2019-03-28,20:0:0,21:0:0,20:0:0.0,21:0:0.0,0:12:59,0:9:44,0:24:00,0:11:18,0:58:01,93,52,310,269,145,579,724,202,0:0:04
21,9999,2019-03-28,21:0:0,22:0:0,21:0:0.0,22:0:0.0,0:13:14,0:9:59,0:24:08,0:10:52,0:58:13,95,52,276,241,147,517,664,184,0:0:05
22,9999,2019-03-28,22:0:0,23:0:0,22:0:0.0,23:0:0.0,0:13:15,0:9:57,0:23:47,0:11:07,0:58:06,89,52,298,265,141,563,704,192,0:0:05
23,9999,2019-03-28,23:0:0,24:0:0,23:0:0.0,23:59:59.84,0:13:30,0:9:44,0:24:16,0:10:35,0:58:05,97,52,298,253,149,551,700,209,0:0:05
