x,y,z,timestamp
1.6783354,-1.7908629,9.495404,2018-12-25 15:25:08.013
1.6017209,-1.8626889,9.457097,2018-12-25 15:25:08.173
1.6065093,-1.6089035,9.423578,2018-12-25 15:25:08.331
1.5346833,-1.6903064,9.337387,2018-12-25 15:25:08.493
1.6400281,-1.7956513,9.361329,2018-12-25 15:25:08.655
1.5394717,-1.8195933,9.394848,2018-12-25 15:25:08.814
1.5442601,-1.8483237,9.394848,2018-12-25 15:25:08.975
1.520318,-1.8962077,9.591172,2018-12-25 15:25:09.136
1.5251064,-0.22984336,9.562442,2018-12-25 15:25:09.299
1.2761095,0.25258827,9.165004,2018-12-25 15:25:09.458
1.7836803,-0.023942016,9.471462,2018-12-25 15:25:09.619
1.1707647,-0.33518824,9.260772,2018-12-25 15:25:09.78
1.3383588,0.11851298,10.127473,2018-12-25 15:25:09.942
0.878672,-1.3790601,9.653421,2018-12-25 15:25:10.101
1.1372458,-2.1260512,9.557653,2018-12-25 15:25:10.263
0.6919243,-1.6232687,9.212888,2018-12-25 15:25:10.423
0.6775591,-2.2409728,9.423578,2018-12-25 15:25:10.584
0.49559975,-1.8579005,9.313444,2018-12-25 15:25:10.747
0.6536171,-2.5617957,9.600749,2018-12-25 15:25:10.906
0.6488287,-2.2266076,9.500193,2018-12-25 15:25:11.067
0.5243302,-2.27928,9.390059,2018-12-25 15:25:11.228
0.6536171,-2.3798366,9.461885,2018-12-25 15:25:11.391
0.6440403,-2.3319526,9.457097,2018-12-25 15:25:11.549
0.7493851,-2.2840683,9.3421755,2018-12-25 15:25:11.71
0.58657944,-2.5091233,9.519346,2018-12-25 15:25:11.873
0.61530983,-2.0207062,9.251195,2018-12-25 15:25:12.034
1.0414777,-2.0685902,9.591172,2018-12-25 15:25:12.193
1.3862427,-2.7341783,9.404425,2018-12-25 15:25:12.353
1.3814543,-1.7046716,9.41879,2018-12-25 15:25:12.516
1.5155296,-2.6431987,10.170568,2018-12-25 15:25:12.675
