,ID,date,from,to,y_pred
0,9999,2019-03-28,0:0:0.0,0:0:34.72,2
1,9999,2019-03-28,0:0:34.88,0:1:9.92,0
2,9999,2019-03-28,0:1:10.08,0:1:48.32,2
3,9999,2019-03-28,0:1:48.48,0:1:49.76,3
4,9999,2019-03-28,0:1:49.92,0:1:55.2,2
5,9999,2019-03-28,0:1:55.36,0:1:55.52,3
6,9999,2019-03-28,0:1:55.68,0:1:56.16,2
7,9999,2019-03-28,0:1:56.32,0:1:56.32,3
8,9999,2019-03-28,0:1:56.48,0:1:58.56,2
9,9999,2019-03-28,0:1:58.72,0:1:59.2,3
10,9999,2019-03-28,0:1:59.36,0:1:59.36,2
11,9999,2019-03-28,0:1:59.52,0:2:6.08,0
12,9999,2019-03-28,0:2:6.24,0:2:13.12,3
13,9999,2019-03-28,0:2:13.28,0:2:13.6,2
14,9999,2019-03-28,0:2:13.76,0:2:15.36,0
15,9999,2019-03-28,0:2:15.52,0:2:18.88,1
16,9999,2019-03-28,0:2:19.04,0:2:20.96,3
17,9999,2019-03-28,0:2:21.12,0:2:24.96,0
18,9999,2019-03-28,0:2:25.12,0:2:25.6,3
19,9999,2019-03-28,0:2:25.76,0:2:33.28,0
20,9999,2019-03-28,0:2:33.44,0:2:34.24,1
21,9999,2019-03-28,0:2:34.4,0:2:34.4,0
22,9999,2019-03-28,0:2:34.56,0:2:34.88,2
23,9999,2019-03-28,0:2:35.04,0:2:37.6,0
24,9999,2019-03-28,0:2:37.76,0:2:39.04,3
25,9999,2019-03-28,0:2:39.2,0:2:44.48,2
26,9999,2019-03-28,0:2:44.64,0:2:45.28,3
27,9999,2019-03-28,0:2:45.44,0:3:15.36,1
28,9999,2019-03-28,0:3:15.52,0:3:18.24,0
29,9999,2019-03-28,0:3:18.4,0:3:20.16,2
30,9999,2019-03-28,0:3:20.32,0:3:24.96,0
31,9999,2019-03-28,0:3:25.12,0:3:26.4,3
32,9999,2019-03-28,0:3:26.56,0:3:55.68,0
33,9999,2019-03-28,0:3:55.84,0:3:56.8,1
34,9999,2019-03-28,0:3:56.96,0:3:59.84,0
35,9999,2019-03-28,0:4:0.0,0:4:1.44,2
36,9999,2019-03-28,0:4:1.6,0:4:2.4,1
37,9999,2019-03-28,0:4:2.56,0:4:11.04,2
38,9999,2019-03-28,0:4:11.2,0:4:45.28,1
39,9999,2019-03-28,0:4:45.44,0:4:52.96,2
40,9999,2019-03-28,0:4:53.12,0:4:53.28,3
41,9999,2019-03-28,0:4:53.44,0:4:58.08,2
42,9999,2019-03-28,0:4:58.24,0:4:58.24,3
43,9999,2019-03-28,0:4:58.4,0:4:58.56,2
44,9999,2019-03-28,0:4:58.72,0:4:58.72,3
45,9999,2019-03-28,0:4:58.88,0:4:59.36,2
46,9999,2019-03-28,0:4:59.52,0:5:0.64,3
47,9999,2019-03-28,0:5:0.8,0:5:0.96,2
48,9999,2019-03-28,0:5:1.12,0:5:1.12,3
49,9999,2019-03-28,0:5:1.28,0:5:25.76,2
50,9999,2019-03-28,0:5:25.92,0:5:27.2,3
51,9999,2019-03-28,0:5:27.36,0:5:27.36,2
52,9999,2019-03-28,0:5:27.52,0:5:30.72,3
53,9999,2019-03-28,0:5:30.88,0:5:30.88,2
54,9999,2019-03-28,0:5:31.04,0:5:31.36,3
55,9999,2019-03-28,0:5:31.52,0:5:31.52,2
56,9999,2019-03-28,0:5:31.68,0:5:31.84,3
57,9999,2019-03-28,0:5:32.0,0:5:32.0,2
58,9999,2019-03-28,0:5:32.16,0:5:32.32,3
59,9999,2019-03-28,0:5:32.48,0:5:34.08,2
60,9999,2019-03-28,0:5:34.24,0:5:34.24,3
61,9999,2019-03-28,0:5:34.4,0:5:45.28,2
62,9999,2019-03-28,0:5:45.44,0:5:45.76,3
63,9999,2019-03-28,0:5:45.92,0:5:46.72,2
64,9999,2019-03-28,0:5:46.88,0:5:47.36,3
65,9999,2019-03-28,0:5:47.52,0:5:47.84,2
66,9999,2019-03-28,0:5:48.0,0:5:48.0,3
67,9999,2019-03-28,0:5:48.16,0:5:49.76,2
68,9999,2019-03-28,0:5:49.92,0:5:49.92,3
69,9999,2019-03-28,0:5:50.08,0:5:50.24,2
70,9999,2019-03-28,0:5:50.4,0:6:16.96,3
71,9999,2019-03-28,0:6:17.12,0:6:17.12,2
72,9999,2019-03-28,0:6:17.28,0:6:18.72,3
73,9999,2019-03-28,0:6:18.88,0:6:19.36,2
74,9999,2019-03-28,0:6:19.52,0:6:19.52,3
75,9999,2019-03-28,0:6:19.68,0:6:19.68,2
76,9999,2019-03-28,0:6:19.84,0:6:42.72,3
77,9999,2019-03-28,0:6:42.88,0:6:42.88,2
78,9999,2019-03-28,0:6:43.04,0:6:44.48,3
79,9999,2019-03-28,0:6:44.64,0:6:44.64,2
80,9999,2019-03-28,0:6:44.8,0:6:44.8,3
81,9999,2019-03-28,0:6:44.96,0:6:45.28,2
82,9999,2019-03-28,0:6:45.44,0:6:45.76,3
83,9999,2019-03-28,0:6:45.92,0:6:45.92,2
84,9999,2019-03-28,0:6:46.08,0:6:49.28,3
85,9999,2019-03-28,0:6:49.44,0:6:49.44,2
86,9999,2019-03-28,0:6:49.6,0:6:50.72,3
87,9999,2019-03-28,0:6:50.88,0:6:51.68,2
88,9999,2019-03-28,0:6:51.84,0:6:52.0,3
89,9999,2019-03-28,0:6:52.16,0:6:52.16,2
90,9999,2019-03-28,0:6:52.32,0:6:52.32,3
91,9999,2019-03-28,0:6:52.48,0:6:53.28,2
92,9999,2019-03-28,0:6:53.44,0:6:53.44,3
93,9999,2019-03-28,0:6:53.6,0:6:53.92,2
94,9999,2019-03-28,0:6:54.08,0:6:55.2,3
95,9999,2019-03-28,0:6:55.36,0:7:6.08,2
96,9999,2019-03-28,0:7:6.24,0:7:6.72,3
97,9999,2019-03-28,0:7:6.88,0:7:8.48,2
98,9999,2019-03-28,0:7:8.64,0:7:8.64,3
